t,wt,ql,sd,b3c3_sd
15.0,2.375,0.3125,4.582269817391711,13.89
20.0,5.5,0.3125,2.775437665586869,13.89
25.0,9.0,0.3125,2.900753012754084,13.89
30.0,12.75,0.375,3.8094097411337833,14.281748950411846
35.0,16.625,0.4375,1.8286067332672256,14.247727176221368
40.0,14.0,0.4375,3.856187430492183,13.89
45.0,16.583333333333332,0.3125,6.295406152288927,13.89
50.0,18.666666666666668,0.3125,7.141906223777518,13.89
55.0,20.75,0.3125,6.176996832752178,13.89
60.0,23.166666666666668,0.375,5.253385088973383,13.89
65.0,26.0,0.5,2.9523355866306886,13.89
70.0,29.75,0.5625,2.8655133110322537,13.89
75.0,19.65,0.25,6.180214376458027,13.89
80.0,20.7,0.3125,8.938263489215256,13.89
85.0,22.25,0.4375,7.047244895091959,13.89
90.0,24.25,0.5,5.389555499925082,13.89
95.0,27.15,0.875,2.726244567964071,13.782007449935282
100.0,30.85,1.0,1.4918080087413172,13.376854381803515
105.0,34.2,0.4375,3.842566537451998,13.773557385301775
110.0,29.916666666666668,0.4375,7.433568082258053,6.9527009578870045
115.0,31.416666666666668,0.5,8.620262367557979,6.945
120.0,33.166666666666664,0.5625,6.705635667003367,6.945
125.0,35.666666666666664,0.9375,4.175355293783523,6.945
130.0,38.958333333333336,1.0,3.678347350156906,6.945
135.0,42.166666666666664,0.8125,3.3996055473824565,13.89
140.0,45.208333333333336,0.9375,3.299985217145329,12.103851170740143
145.0,36.6875,1.625,2.2712727406101747,12.28464320802135
150.0,39.46875,1.0625,4.648853371686476,11.849984475465078
155.0,42.53125,1.3125,3.283462984720296,13.89
160.0,45.67741935483871,1.5,2.656372546740534,13.89
165.0,49.096774193548384,1.0,3.8928174307369496,13.89
170.0,51.74193548387097,1.0625,5.574318304905569,13.89
175.0,54.54838709677419,1.125,5.221596536707458,13.89
180.0,57.45161290322581,1.125,3.848071154321524,13.89
185.0,54.0,1.5625,2.407258576916861,13.89
190.0,58.05714285714286,1.8125,1.9766604545421818,13.89
195.0,61.371428571428574,0.6875,4.54762658679313,13.89
200.0,63.0,0.75,7.981855748588321,13.89
205.0,51.476190476190474,0.75,8.26563835240889,13.89
210.0,53.19047619047619,1.0,6.506001132932221,13.89
215.0,55.76190476190476,1.75,3.234116884673417,13.89
220.0,54.04347826086956,1.75,3.1002744721324276,13.89
225.0,56.82222222222222,0.9375,4.952462476086595,13.89
230.0,58.6,1.125,7.307648788261112,13.89
235.0,60.666666666666664,1.25,6.713945713362657,13.89
240.0,53.528301886792455,1.4375,5.74268834585963,13.89
245.0,56.15094339622642,2.0625,3.616051602688829,13.89
250.0,59.60377358490566,2.4375,2.6883186093927582,13.89
255.0,58.69642857142857,2.0625,2.9252036827965098,13.89
260.0,61.285714285714285,1.8125,5.262910764498942,13.89
265.0,63.654545454545456,2.0,4.196811993732652,13.89
270.0,66.87272727272727,2.25,4.241615513910327,13.89
275.0,61.333333333333336,2.4375,3.1642628869729608,13.89
280.0,59.59322033898305,2.9375,2.3141407984685163,14.549673053039733
285.0,63.03389830508475,1.5625,4.122275032615367,13.61682297988984
290.0,64.88135593220339,1.4375,6.864003117566403,11.657375776276035
295.0,61.806451612903224,1.5625,7.524491798547772,6.945500985696154
300.0,64.47540983606558,1.8125,5.08405209257757,6.945
305.0,67.47540983606558,2.5625,3.0126982156096704,6.945
310.0,62.94202898550725,3.0625,2.2564782130415084,6.945
315.0,66.04347826086956,1.6875,4.891422207189367,6.945
320.0,67.72463768115942,1.5625,6.56650485231163,6.945
325.0,69.92753623188406,2.0625,5.931476357046999,6.945
330.0,68.42465753424658,2.125,5.47349772121947,6.945
335.0,71.27397260273973,3.125,2.7068275130568096,6.945
340.0,75.08219178082192,3.6875,1.8435045342534875,6.945
345.0,70.79012345679013,2.6875,2.9576320049583167,6.945
350.0,72.60493827160494,1.8125,6.5773459697000805,4.755640164774575
355.0,74.53086419753086,2.0625,6.773399614302507,5.633544234850176
360.0,76.5925925925926,2.125,6.378695391438064,5.069068911078118
365.0,75.29411764705883,2.75,4.1809360870956125,1.0780816041505823
370.0,77.54761904761905,3.5625,3.134258610472694,0.00024828201267748575
375.0,79.59036144578313,2.9375,3.099747645013109,13.89
380.0,82.02439024390245,2.625,4.087874399101901,11.156053695465125
385.0,77.12222222222222,2.75,4.769708139793089,10.221431148174398
390.0,78.5340909090909,2.9375,4.537772130132543,11.409226064874261
395.0,81.54545454545455,3.4375,3.371304977689404,9.62224985293875
400.0,77.20454545454545,4.375,1.6284126079651506,12.809873576326252
405.0,72.94736842105263,3.125,3.4430140944189853,6.949751850400689
410.0,74.19148936170212,2.875,5.287254111592583,6.945
415.0,75.78494623655914,2.9375,5.079282782207289,6.945
420.0,75.28865979381443,3.3125,4.8449979822518205,6.945
425.0,78.24742268041237,3.8125,3.0193236409459403,6.945
430.0,74.40776699029126,5.125,1.6988217033134208,6.945
435.0,75.56435643564356,3.375,3.081407188056632,6.945
440.0,77.57425742574257,2.25,5.68230431693576,6.945
445.0,76.18095238095238,2.3125,6.432308953472249,6.945
450.0,77.97115384615384,2.5625,6.598321872581159,6.945
455.0,80.1826923076923,3.25,4.534538155910257,6.945
460.0,74.73636363636363,4.375,2.8008629841297337,6.945
465.0,76.74074074074075,3.5,3.758987415088217,6.945
470.0,79.14814814814815,3.3125,5.429710278498674,6.945
475.0,78.82142857142857,3.625,5.651562111911814,6.945
480.0,80.43636363636364,3.875,4.310282838124102,6.945
485.0,83.46788990825688,4.5,2.9321630760958897,6.945
490.0,77.95652173913044,5.1875,2.3913302755050516,6.945
495.0,80.05309734513274,3.875,2.946166923685405,13.89
500.0,82.61946902654867,3.5,4.5612859845345275,13.134152134475142
505.0,82.25641025641026,3.75,4.334768231670166,12.574515725307744
510.0,85.03418803418803,4.0625,4.686173110082725,12.449498836434827
515.0,87.43103448275862,4.5,3.625177789422393,13.89
520.0,83.87603305785125,5.1875,3.0698679221028553,13.89
525.0,84.98305084745763,4.3125,3.4778329734354365,13.89
530.0,86.37391304347825,3.5,4.502073090470373,13.89
535.0,85.34745762711864,3.75,5.318632341373031,13.89
540.0,87.21052631578948,4.0625,4.486931238809609,13.89
545.0,84.3360655737705,5.125,2.662449497563615,13.89
550.0,86.05,5.5625,2.5046222110278262,13.89
555.0,89.525,4.125,3.1684773267499224,13.89
560.0,88.75,3.1875,4.843783511021676,13.89
565.0,90.79032258064517,3.3125,5.432605805238389,13.89
570.0,93.05645161290323,3.6875,4.885485044561677,13.89
575.0,90.04545454545455,4.75,2.754978873717889,11.750491848132555
580.0,91.24615384615385,5.875,2.456934851377911,13.132008105556686
585.0,93.2734375,4.5625,3.0762075560853894,12.928523079998065
590.0,92.62121212121212,3.375,5.040256057338351,7.147260772705378
595.0,94.64393939393939,3.4375,5.850922877306013,6.945167996510252
600.0,96.1923076923077,4.125,4.480683427974322,6.945
605.0,93.31884057971014,5.125,3.498594447887432,6.945
610.0,95.32352941176471,6.0,2.541833035127814,6.945
615.0,95.46043165467626,5.5625,2.3769427526866,13.89
620.0,97.10144927536231,4.1875,4.198073041665302,12.656432406332039
625.0,96.97183098591549,5.0,4.529199934220929,13.189023039624283
630.0,97.04794520547945,5.1875,4.7634124946102325,12.404907884400231
635.0,99.95890410958904,5.375,4.407430671481644,13.89
640.0,98.92857142857143,6.0,3.1697646063069165,13.89
645.0,97.24817518248175,5.125,2.8481927138207244,13.89
650.0,95.48550724637681,4.375,4.507972667381614,13.89
655.0,93.11678832116789,4.5,4.647745185820455,13.89
660.0,95.25,4.6875,4.668468728833873,13.89
665.0,97.6,5.5,3.143799362125082,13.89
670.0,96.83333333333333,6.3125,2.507523155163559,13.89
675.0,96.1,5.4375,2.5967449869539507,13.89
680.0,95.51748251748252,4.875,4.019084982029721,13.89
685.0,96.72535211267606,4.375,4.68667206569001,13.89
690.0,99.21126760563381,4.5,4.251017211689247,13.89
695.0,98.84027777777777,5.6875,3.231665924702585,13.89
700.0,98.96598639455782,6.375,2.632346458573698,10.884870537188398
705.0,100.61379310344827,5.25,2.762408931846498,13.368384363328696
710.0,100.18120805369128,3.9375,5.125807390871298,12.671755423105303
715.0,102.2751677852349,4.125,5.356599793185775,4.122552715084065
720.0,102.0,4.8125,4.597122171504635,3.3415086551986057
725.0,102.28662420382166,6.1875,3.338844341212947,0.0
730.0,105.16666666666667,7.375,2.2022502624983713,0.0
735.0,106.14375,6.0625,3.0030446892930542,8.77473882341889
740.0,106.71974522292993,5.0,4.598037289142112,13.89
745.0,104.48170731707317,6.25,4.187026545931369,13.89
750.0,107.27439024390245,5.75,4.701933895179084,13.89
755.0,110.26219512195122,6.1875,4.238228336020817,13.89
760.0,104.74683544303798,6.9375,2.974815920363594,13.89
765.0,105.18791946308725,5.0625,3.0407913133559776,13.89
770.0,101.10204081632654,4.3125,4.966014173714592,13.89
775.0,100.37333333333333,4.3125,5.431697619636138,13.89
780.0,102.85333333333334,4.8125,4.963134982056496,13.89
785.0,102.98051948051948,5.9375,3.221434573706245,13.89
790.0,105.21052631578948,6.6875,2.4036663443864787,13.89
795.0,106.06410256410257,6.0,2.901018339014508,13.89
800.0,105.78125,4.25,5.476338772947488,13.89
805.0,98.06818181818181,4.1875,6.375157669867821,13.89
810.0,99.66285714285715,4.625,4.947990612472469,13.89
815.0,102.21714285714286,6.3125,3.263677174448801,13.89
820.0,102.89265536723164,7.5625,2.2273153612352057,13.89
825.0,106.26553672316385,6.1875,2.7836307338148907,13.89
830.0,109.10227272727273,5.125,4.236485497050455,13.89
835.0,111.6534090909091,5.6875,4.465921327246619,13.89
840.0,109.41847826086956,6.1875,4.1077185523373565,13.89
845.0,111.91256830601093,7.625,2.8123743242539545,13.89
850.0,113.06951871657753,8.625,2.160367411353872,13.89
855.0,113.46842105263158,7.6875,2.41419391231136,13.89
860.0,115.52380952380952,6.375,3.4843193264783205,13.89
865.0,117.20320855614973,6.375,3.7790108280488024,13.89
870.0,118.32608695652173,6.375,3.5536628954374914,13.89
875.0,114.67195767195767,7.5,3.055669318649414,13.89
880.0,112.92222222222222,8.3125,2.273181271669446,13.89
885.0,116.17142857142858,6.5,2.6418135081303404,13.89
890.0,116.9171597633136,4.75,4.75728405035923,13.89
895.0,116.44508670520231,4.9375,5.656749784589641,13.89
900.0,116.1638418079096,5.3125,5.067535439381906,13.89
905.0,119.03389830508475,7.0,3.467831168686005,13.89
910.0,116.88524590163935,8.125,2.1984801065751016,13.89
915.0,118.18333333333334,7.3125,2.5351331472028216,13.89
920.0,119.67415730337079,5.875,3.9705932384209692,13.89
925.0,122.13483146067416,5.3125,4.698413154885885,13.89
930.0,121.67222222222222,5.4375,4.767989675792133,13.89
935.0,124.28333333333333,6.0625,4.413993852851443,13.89
940.0,126.5284090909091,6.9375,2.921007245086646,13.89
945.0,118.55263157894737,6.9375,2.7286070040782193,13.89
950.0,120.8010752688172,4.5,5.37529004319832,13.89
955.0,122.66120218579235,4.5625,5.657446417518807,13.89
960.0,125.26519337016575,4.375,5.474416061726482,13.89
965.0,125.52197802197803,6.1875,3.356457495537152,13.89
970.0,127.5111111111111,7.875,1.768541845726781,13.89
975.0,130.5367231638418,7.25,1.7096957475707968,13.89
980.0,133.49717514124293,6.375,3.6293258115589198,13.868536182361078
985.0,130.15135135135134,5.1875,4.976394940879461,13.44630740815002
990.0,132.47282608695653,5.0,4.841708983441967,13.697928822790484
995.0,132.16489361702128,6.375,4.033042436292102,13.89
1000.0,130.13829787234042,7.0625,3.5795607236165554,13.89
1005.0,117.92857142857143,5.625,4.4573920642714056,13.89
1010.0,110.52150537634408,4.8125,5.461677855877503,13.89
1015.0,110.10928961748634,5.1875,5.691406522784381,13.89
1020.0,110.91160220994475,5.6875,4.865363790863855,13.89
1025.0,110.34615384615384,7.5,2.6107886665364677,13.89
1030.0,111.3076923076923,9.1875,1.799233322003442,13.89
1035.0,113.646408839779,7.3125,1.9291288784644596,9.813101899738207
1040.0,116.1767955801105,5.3125,4.890570567051773,12.030381853357845
1045.0,118.54143646408839,5.3125,5.3627704020254345,13.061365988644262
1050.0,118.2918918918919,5.4375,5.326933835222944,12.561237279398789
1055.0,121.01086956521739,6.8125,3.48937582706363,6.949680730410774
1060.0,120.79569892473118,8.0,2.7485318525824503,7.270501429630071
1065.0,124.10752688172043,6.4375,3.4110096170484034,7.835084538313391
1070.0,126.55135135135136,5.125,5.623872018917648,8.492787975534938
1075.0,122.51851851851852,5.4375,5.773634467036643,0.14668540393261542
1080.0,124.93048128342247,5.875,5.143001530642874,3.736454861594252e-05
1085.0,127.9945652173913,7.3125,3.308441788384687,0.0
1090.0,125.29834254143647,8.4375,2.1546479215584307,0.0
1095.0,127.13068181818181,6.5,2.802947051915149,8.425306040578592
1100.0,123.96739130434783,5.1875,4.949991740206549,13.443484718456908
1105.0,124.39890710382514,5.375,5.405554595245352,13.783896696523792
1110.0,126.73224043715847,5.4375,4.896933611242636,13.561128267461575
1115.0,129.43169398907105,6.6875,3.7021587155641145,13.916774784170256
1120.0,127.08839779005525,7.8125,2.968296742340306,14.084792233202306
1125.0,122.92655367231639,6.4375,3.0370678155111728,6.945457232492342
1130.0,124.16763005780346,6.25,3.8959491044768377,6.945
1135.0,126.80588235294118,6.3125,4.120186185585409,6.945
1140.0,129.90588235294118,6.8125,3.6737869967207164,6.945
1145.0,124.58791208791209,8.625,2.420177504961204,6.945
1150.0,126.67231638418079,8.75,2.0181745328332052,6.945
1155.0,128.17543859649123,6.8125,2.522901001505887,6.945
1160.0,129.37278106508876,5.3125,4.7401368685984755,6.67468978257228
1165.0,131.44642857142858,5.25,5.6544251152476885,9.45049410259711
1170.0,130.24117647058824,5.5625,4.339488484511221,10.568434899107482
1175.0,129.64739884393063,6.875,2.9258108486382493,5.655389177178864
1180.0,128.40828402366864,7.9375,1.9651696312934763,2.967536982911866
1185.0,125.9939393939394,5.875,2.543351789547497,1.3994841700564806
1190.0,128.38181818181818,4.625,5.077537399965502,3.892558024038873
