t,wt,ql,sd,b3c3_sd
1195.0,124.46242774566474,4.3125,5.873115667013175,4.989750172712807
1200.0,125.07602339181287,4.1875,6.0381079731962615,3.1513975694469205
1205.0,118.05494505494505,5.6875,4.788672192658043,2.316707238608476
1210.0,120.46927374301676,6.8125,3.8825663803041417,1.0798006430283449
1215.0,123.60795454545455,6.25,3.1846654709967877,0.33231669648248785
1220.0,123.22033898305085,5.5625,4.417667263289361,3.010197052658101
1225.0,126.0284090909091,6.125,4.577790878598736,3.9855475298524285
1230.0,128.89204545454547,6.375,4.34991343623593,1.9561761283046963
1235.0,131.92613636363637,7.1875,3.4476227752669484,2.778
1240.0,128.83908045977012,7.5625,2.8294103935848516,2.778
1245.0,129.8830409356725,5.9375,2.9992821452207346,4.31938372181879
1250.0,129.32183908045977,5.875,4.018689322084304,13.89
1255.0,129.34857142857143,6.125,4.318561502534654,13.89
1260.0,132.26857142857142,6.875,3.607137952735953,13.89
1265.0,134.82658959537574,7.75,2.3204381681698885,13.89
1270.0,136.64880952380952,9.0625,1.469232838028283,13.89
1275.0,134.11428571428573,6.625,2.6953233266474226,10.124362863899197
1280.0,135.78488372093022,5.0,4.897705286162318,13.142094068161633
1285.0,137.89411764705883,5.375,4.965740474110509,13.176173758147222
1290.0,140.52941176470588,5.75,4.003676599737973,9.745882962923469
1295.0,140.3735632183908,7.125,2.7924446597951613,6.320002869585521
1300.0,139.11363636363637,8.4375,2.054553495350228,3.473505557720104
1305.0,141.7183908045977,6.5625,2.510411430472185,3.4725
1310.0,140.91573033707866,4.5625,5.275658945431663,4.665767596822478
1315.0,138.31976744186048,4.0625,6.648522882231687,5.134764621521977
1320.0,139.6140350877193,4.25,5.646023351083239,4.704289593872313
1325.0,138.5,5.875,4.37143340694768,2.3754580811451955
1330.0,136.2754491017964,6.625,3.194302500093889,2.4633477691369863
1335.0,138.50920245398774,5.0,3.4981074485525325,0.5599915192117417
1340.0,140.18125,4.3125,5.471367655139152,3.4725
1345.0,131.0532544378698,5.125,4.803289255336195,3.4725
1350.0,132.88690476190476,4.875,5.358135087772528,3.4725
1355.0,135.0,5.625,4.139884875228303,3.4725
1360.0,129.59872611464968,6.75,2.8279040936046087,3.4725
1365.0,126.3076923076923,5.25,3.5278101907930806,5.666613508295145
1370.0,127.51948051948052,5.25,4.513276846516948,13.89
1375.0,130.20915032679738,5.8125,4.557935818560797,13.89
1380.0,132.4078947368421,5.6875,4.08990747336674,13.89
1385.0,131.26623376623377,6.8125,2.971399071142174,13.89
1390.0,133.1456953642384,7.3125,2.4900129979643464,13.89
1395.0,130.70666666666668,6.1875,2.8263904011478456,13.89
1400.0,129.3774834437086,4.8125,4.093671743084144,13.89
1405.0,125.24050632911393,5.0,4.730441008828284,13.89
1410.0,127.85350318471338,5.625,4.194776924164501,13.89
1415.0,129.3653846153846,6.75,2.7284098533902355,13.89
1420.0,128.38993710691824,7.3125,2.0666832354233318,13.89
1425.0,130.3375796178344,6.1875,2.4988395506123493,13.89
1430.0,131.04516129032257,4.5625,4.93099521398946,13.89
1435.0,127.93037974683544,4.6875,5.413573263030391,13.89
1440.0,130.37974683544303,4.875,5.088873751697274,13.89
1445.0,129.87654320987653,6.125,3.6841241675557317,13.89
1450.0,128.77914110429447,7.125,2.4706513535224093,13.89
1455.0,130.28301886792454,5.5,3.186373695633913,13.89
1460.0,129.23841059602648,4.625,4.868222321975563,13.89
1465.0,128.1045751633987,5.25,4.793321816540455,13.89
1470.0,130.5921052631579,5.0625,5.151140886434729,13.89
1475.0,133.48026315789474,5.8125,3.7382392180041237,13.89
1480.0,131.18493150684932,6.75,2.3374075953524542,13.89
1485.0,122.27891156462584,5.3125,3.061343303793705,13.89
1490.0,116.16666666666667,4.4375,4.360436762453652,13.89
1495.0,116.15441176470588,5.1875,4.388601010537333,13.89
1500.0,115.41007194244604,5.375,3.956624547157413,13.89
1505.0,118.81294964028777,6.4375,2.574928884498934,13.89
1510.0,120.11851851851851,7.0,1.9245033249659513,13.89
1515.0,118.18518518518519,4.875,2.8726714483170537,13.89
1520.0,119.59701492537313,2.9375,5.563361380434409,13.89
1525.0,115.55882352941177,3.25,5.8931141335077895,13.89
1530.0,113.07913669064749,3.5625,5.605062214057231,13.89
1535.0,115.21739130434783,4.4375,3.69533919938252,13.89
1540.0,118.45652173913044,6.125,2.82308988159843,13.89
1545.0,114.15,5.25,2.6077728998825127,13.89
1550.0,116.73571428571428,4.3125,4.577882886749588,13.89
1555.0,119.31428571428572,4.5625,4.67150176902672,13.89
1560.0,122.00714285714285,4.8125,4.790841982078573,13.89
1565.0,121.54861111111111,5.6875,3.477488796499333,13.89
1570.0,121.03401360544218,6.5625,2.3723001393165988,13.89
1575.0,123.67132867132867,5.25,2.6502228994065415,13.89
1580.0,122.54794520547945,4.9375,4.4012570722572795,13.89
1585.0,125.43150684931507,5.375,4.544740803922907,13.89
1590.0,127.8551724137931,5.6875,3.89164955867408,13.89
1595.0,127.08783783783784,6.3125,2.806017273597344,13.89
1600.0,129.8551724137931,6.8125,2.5584029090200033,13.89
1605.0,122.96575342465754,5.4375,3.327492700714669,13.89
1610.0,123.2937062937063,4.1875,4.784297940640073,13.89
1615.0,125.74825174825175,4.625,4.46522155476415,13.89
1620.0,128.58041958041957,5.3125,3.53901689303154,13.89
1625.0,128.44897959183675,6.875,2.1669160298626746,13.89
1630.0,127.58041958041959,7.4375,1.5022603754302903,13.89
1635.0,129.81560283687944,5.375,2.3594825705278213,13.89
1640.0,131.59285714285716,3.4375,4.808467155353983,13.89
1645.0,133.62142857142857,3.6875,5.0870992384673785,13.89
1650.0,131.41958041958043,4.375,4.425049624833588,13.89
1655.0,132.76760563380282,5.3125,3.6168670196379256,13.89
1660.0,135.06382978723406,5.875,2.9613884924353986,13.89
1665.0,138.3758865248227,4.6875,3.2376706921179577,13.89
1670.0,140.67857142857142,4.375,5.028725049692514,13.89
1675.0,135.5810810810811,4.875,5.128328256928761,13.89
1680.0,138.30405405405406,5.1875,4.807307116679841,13.89
1685.0,141.34459459459458,6.125,3.0691797768243627,13.89
1690.0,140.26760563380282,7.0,1.9934452182711029,13.89
1695.0,141.7173913043478,5.5625,2.412505686482373,13.89
1700.0,139.6642857142857,4.875,4.3866088081125545,13.89
1705.0,141.04347826086956,4.875,4.863226552921315,13.89
1710.0,142.85185185185185,5.0625,4.415194890025936,13.89
1715.0,144.68421052631578,5.625,3.0401304794376975,13.89
1720.0,146.1328125,6.3125,1.9139393598255192,13.89
1725.0,143.888,4.9375,2.3557190083847077,13.89
1730.0,146.328,3.4375,4.8111820515758925,13.89
1735.0,147.8709677419355,3.625,4.788412434763255,13.89
1740.0,150.43548387096774,3.875,4.990411300251299,13.89
1745.0,143.96153846153845,5.0,3.699675126832769,13.89
1750.0,142.896,5.0625,2.837738612462271,13.89
1755.0,141.15254237288136,4.3125,2.6175477772907048,13.89
1760.0,143.0344827586207,3.5,4.239152933489618,13.89
1765.0,145.08695652173913,3.25,5.088698045993755,13.89
1770.0,141.5593220338983,3.4375,4.643122302337256,13.89
1775.0,143.5042735042735,4.3125,3.381783114131281,13.89
1780.0,145.89565217391305,5.1875,2.008105774151069,13.89
1785.0,149.5391304347826,4.625,2.2552608254555917,13.89
1790.0,152.51304347826087,4.375,3.664978540087427,13.89
1795.0,150.3613445378151,4.375,4.103080298971631,13.89
1800.0,153.35294117647058,4.4375,3.71668922227783,13.89
1805.0,151.6178861788618,5.25,3.208794950872591,13.89
1810.0,154.37704918032787,5.75,2.692524923284808,13.89
1815.0,156.26666666666668,4.75,2.9683134178321664,13.89
1820.0,155.22608695652173,3.875,4.001300536646283,13.89
1825.0,157.9217391304348,4.125,4.293797890700134,13.89
1830.0,160.81739130434784,4.1875,3.799793761379738,13.89
1835.0,162.81578947368422,5.0,2.15186107673692,13.89
1840.0,166.83185840707964,5.8125,1.6289045008798035,13.89
1845.0,167.6880733944954,4.4375,2.043247962580283,13.89
1850.0,169.2314814814815,3.1875,4.566644681877443,13.89
1855.0,171.4814814814815,3.125,5.164487292213271,13.89
1860.0,173.83333333333334,3.25,5.165781217560963,13.89
1865.0,174.47663551401868,3.6875,4.188216946664936,13.89
1870.0,171.4950495049505,4.25,3.0972373784358536,13.89
1875.0,162.08080808080808,3.125,3.4395180005695045,13.89
1880.0,161.0,2.5625,5.286459734819793,13.89
1885.0,163.7127659574468,2.8125,5.543228867265117,13.89
1890.0,165.94623655913978,3.125,4.189425002643087,13.89
1895.0,168.96774193548387,3.875,3.0984952527720746,13.89
1900.0,169.43956043956044,4.3125,2.3611854759036475,13.89
1905.0,171.375,3.0,3.0218405271318507,13.89
1910.0,173.86363636363637,2.6875,4.8432016213817315,13.89
1915.0,176.5568181818182,3.125,4.36291082226142,13.89
1920.0,179.5,3.3125,3.6190237479524696,13.89
1925.0,182.88636363636363,3.875,2.410587187334606,13.89
1930.0,186.90804597701148,4.375,1.928071679565095,13.89
1935.0,186.97619047619048,3.9375,1.7990415612788817,13.89
1940.0,187.4320987654321,4.0,2.090522327519119,13.89
1945.0,183.18072289156626,4.0625,1.9541249272514505,13.89
1950.0,186.93975903614458,4.0,2.3501036016996757,13.89
1955.0,190.93975903614458,4.375,1.8449300305224614,13.89
1960.0,193.5679012345679,4.5,1.431071260771381,13.89
1965.0,194.35064935064935,3.4375,2.034541594039348,13.89
1970.0,194.42666666666668,2.5,4.207268350652158,13.89
1975.0,197.12,2.5625,4.871798304305949,13.89
1980.0,199.88,2.625,4.5315992864149965,13.89
1985.0,202.8,2.875,3.7496784842323647,13.89
1990.0,199.64788732394365,2.9375,2.9325302213595075,13.89
1995.0,198.66176470588235,2.1875,3.391750867237378,13.89
2000.0,199.77611940298507,1.8125,5.549962803619085,12.335509777395666
2005.0,201.16666666666666,1.875,6.105435255837877,12.065199417714318
2010.0,203.42857142857142,2.0625,4.803318647368914,11.010741928100101
2015.0,205.8360655737705,2.375,3.7808509726960926,9.006717362613587
2020.0,206.8448275862069,2.625,2.6428911305490788,6.555424883785673
2025.0,210.31034482758622,2.0,2.7370315135299212,3.7991176042992043
2030.0,212.9655172413793,1.875,3.7503935498388716,1.7168250285644087
2035.0,215.63793103448276,2.0,3.934475927329271,1.545062940842572
2040.0,218.55172413793105,2.25,3.706740861067664,1.5433333333333334
2045.0,222.01724137931035,2.75,1.542614610871732,1.5433333333333334
2050.0,226.21428571428572,3.3125,0.5148289303648381,1.5433333333333334
2055.0,230.75,2.8125,1.0826481765744473,1.5433333333333334
2060.0,234.33928571428572,2.375,3.1053860172205963,1.5433333333333334
2065.0,237.51785714285714,2.1875,4.071122203086339,1.5433333333333334
2070.0,240.64285714285714,2.1875,4.042597542432768,1.5433333333333334
2075.0,244.54545454545453,2.375,3.4645399148845897,1.5433333333333334
2080.0,246.21153846153845,2.4375,3.1165484253716067,1.5433333333333334
2085.0,233.84782608695653,1.375,3.8585258503144426,2.026500057048871
2090.0,225.11627906976744,0.8125,7.259628781412638,5.451021485614743
2095.0,226.51162790697674,0.75,8.413732864791719,10.342733714852478
2100.0,221.125,0.8125,7.662822458569432,13.89
2105.0,222.4102564102564,0.9375,6.458137232970633,13.89
2110.0,215.58823529411765,1.125,4.540634996450748,13.89
2115.0,212.75862068965517,0.625,4.54942303404811,13.89
2120.0,212.03703703703704,0.375,7.534687365503043,11.878152640123394
2125.0,213.44444444444446,0.625,6.832398757542394,12.293591360022674
2130.0,215.37037037037038,0.5625,7.362358553717799,13.610616176935986
2135.0,217.5185185185185,0.9375,3.768005876377132,6.815204202173497
2140.0,221.22222222222223,1.375,1.5516867585145104,2.802246449881611
2145.0,225.57692307692307,1.125,1.853487373128157,0.961626767544661
2150.0,229.07692307692307,1.125,2.925371267948314,0.010708073826653414
2155.0,232.57692307692307,1.125,3.341799443308789,0.0
2160.0,236.03846153846155,1.125,3.4249012470458897,0.0
2165.0,239.69230769230768,1.3125,2.1139086777020353,0.0
2170.0,243.92307692307693,1.4375,0.9697109490427447,0.0
2175.0,246.44,1.125,1.8290690838783967,5.17045857272682
2180.0,256.625,0.9375,3.242139706166134,7.838236107507125
2185.0,259.875,1.0,3.733017992378675,6.951754454967061
2190.0,263.2083333333333,1.0,3.845475232168967,6.945
2195.0,266.6666666666667,1.0625,2.5547405610445244,6.945
2200.0,266.4782608695652,1.1875,2.016986255742839,6.945
2205.0,268.1363636363636,0.4375,4.568196581417595,13.89
2210.0,261.42105263157896,0.1875,8.815737637076955,13.89
2215.0,262.2105263157895,0.1875,10.391607106368566,13.89
2220.0,263.0,0.1875,9.271735044474964,13.89
2225.0,264.1578947368421,0.3125,7.922380774293869,13.89
2230.0,271.11764705882354,0.25,7.8900398531951454,13.89
2235.0,263.38461538461536,0.1875,7.160265921948582,13.89
2240.0,262.0833333333333,0.1875,7.268231944676939,13.89
2245.0,281.6666666666667,0.3125,4.231345167006253,13.89
2250.0,285.0,0.375,3.9674041768146924,13.89
2255.0,288.6666666666667,0.5,1.519044625793037,13.89
2260.0,279.875,0.5,0.0,13.89
2265.0,284.5,0.375,1.1322007468546524,13.89
2270.0,288.125,0.3125,3.7283498316116956,13.89
2275.0,291.25,0.3125,4.549954887571087,13.89
2280.0,294.5,0.375,2.5814875271442537,13.89
2285.0,298.25,0.375,1.4989078773555042,13.89
2290.0,302.75,0.5,0.00035198690343229283,13.89
2295.0,307.125,0.3125,2.152914482082949,13.89
2300.0,308.75,0.125,7.381513634867591,13.89
2305.0,310.0,0.125,8.896727329795945,13.89
2310.0,311.25,0.125,8.958695293476904,13.89
2315.0,306.2857142857143,0.125,8.734854429030545,13.89
2320.0,307.7142857142857,0.125,8.816479123731296,13.89
2325.0,319.75,0.0,9.2469167220689,13.89
2330.0,319.75,0.0,10.597548835936383,13.89
2335.0,283.5,0.0,11.170107114239686,13.89
2340.0,283.5,0.0,10.957042456075174,13.89
2345.0,283.5,0.0,11.583998711948839,13.89
2350.0,283.5,0.0,12.131280596013271,13.89
2355.0,0.0,0.0,-1.0,-1
2360.0,0.0,0.0,-1.0,-1
2365.0,0.0,0.0,-1.0,-1
2370.0,0.0,0.0,-1.0,-1
2375.0,0.0,0.0,-1.0,-1
2380.0,0.0,0.0,-1.0,-1
2385.0,0.0,0.0,-1.0,-1
2390.0,0.0,0.0,-1.0,-1
2395.0,0.0,0.0,-1.0,-1
2400.0,0.0,0.0,-1.0,-1
2405.0,0.0,0.0,-1.0,-1
